,product_id,category,animal,size,price,sales,rating,repeat_purchase
0,1,Food,Bird,large,51.1,1860.62,7.0,Y
1,2,Housing,Bird,medium,35.98,963.6,6.0,N
2,3,Food,Dog,medium,31.23,898.3,5.0,Y
3,4,Medicine,Cat,small,24.95,982.15,6.0,Y
4,5,Housing,Cat,small,26.18,832.63,7.0,Y
5,6,Housing,Dog,small,30.77,874.58,7.0,N
6,7,Housing,Dog,small,31.04,875.07,5.0,N
7,8,Toys,Cat,medium,28.9,1074.31,4.0,N
8,9,Equipment,Fish,medium,17.82,503.67,5.0,N
9,10,Medicine,Dog,medium,24.93,838.88,8.0,N
10,11,Food,Dog,large,40.87,1457.22,7.0,Y
11,12,Medicine,Bird,medium,34.96,1204.6,5.0,Y
12,13,Food,Dog,medium,31.07,889.73,4.0,N
13,14,Food,Dog,large,40.8,1450.5,6.0,Y
14,15,Accessory,Bird,medium,33.13,859.29,4.0,Y
15,16,Accessory,Bird,large,43.09,1418.72,1.0,Y
16,17,Equipment,Cat,small,28.29,1040.51,5.0,Y
17,18,Toys,Bird,medium,43.91,1521.51,3.0,Y
18,19,Toys,Cat,small,33.87,1333.9,6.0,N
19,20,Toys,Dog,large,44.0,1792.63,7.0,Y
20,21,Food,Fish,medium,28.064999999999998,542.06,0.0,N
21,22,Food,Dog,large,41.0,1456.58,3.0,N
22,23,unknown,Bird,medium,32.98,859.94,3.0,N
23,24,Equipment,Cat,medium,22.99,790.26,4.0,N
24,25,Toys,Dog,small,38.99,1410.66,3.0,N
25,26,Housing,Bird,large,45.83,1551.24,4.0,Y
26,27,Equipment,Cat,small,28.24,1046.0,4.0,N
27,28,Equipment,Cat,small,28.19,1036.72,5.0,Y
28,29,Equipment,Cat,small,27.79,1031.11,7.0,Y
29,30,Toys,Dog,small,38.86,1405.4,5.0,Y
30,31,Equipment,Fish,small,22.89,706.94,3.0,Y
31,32,Housing,Cat,small,26.07,830.8,7.0,N
32,33,Equipment,Cat,small,28.02,1027.95,6.0,N
33,34,Toys,Fish,medium,23.99,743.83,5.0,N
34,35,Equipment,Cat,small,28.25,1039.58,6.0,Y
35,36,Food,Dog,medium,30.87,879.37,4.0,Y
36,37,Equipment,Cat,small,28.09,1034.96,7.0,Y
37,38,Toys,Fish,small,29.01,966.05,2.0,N
38,39,Housing,Fish,large,26.13,783.84,6.0,Y
39,40,Toys,Bird,large,54.03,2248.63,5.0,N
40,41,Food,Cat,small,31.2,1074.63,3.0,Y
41,42,Food,Cat,small,30.92,1064.79,7.0,N
42,43,Housing,Cat,medium,20.95,615.07,5.0,Y
43,44,Equipment,Fish,medium,17.98,506.75,3.0,Y
44,45,Medicine,Bird,medium,28.064999999999998,1209.41,0.0,N
45,46,Accessory,Dog,large,32.98,1063.91,5.0,Y
46,47,Toys,Cat,small,28.064999999999998,1367.47,0.0,Y
47,48,Equipment,Cat,small,27.7,1022.95,8.0,N
48,49,Medicine,Cat,small,24.8,978.64,6.0,Y
49,50,Food,Cat,small,31.2,1074.1,6.0,N
50,51,Food,Cat,small,31.09,1071.72,6.0,N
51,52,Medicine,Fish,small,19.83,658.66,7.0,Y
52,53,Accessory,Dog,large,33.15,1068.44,7.0,N
53,54,Food,Fish,medium,21.25,548.05,4.0,N
54,55,Equipment,Dog,large,38.06,1449.87,5.0,Y
55,56,Food,Cat,small,30.89,1059.94,6.0,N
56,57,Medicine,Dog,large,35.04,1424.02,6.0,Y
57,58,Housing,Dog,medium,26.03,678.99,3.0,N
58,59,Toys,Dog,medium,33.94,1152.57,6.0,N
59,60,Housing,Cat,small,25.81,814.06,3.0,N
60,61,Accessory,Dog,large,32.99,1068.83,4.0,Y
61,62,Equipment,Fish,medium,17.9,506.2,3.0,Y
62,63,Food,Fish,large,30.96,1016.49,5.0,N
63,64,Food,Dog,large,40.93,1459.08,3.0,N
64,65,Medicine,Dog,medium,24.98,836.05,5.0,Y
65,66,Housing,Cat,small,26.08,831.86,4.0,Y
66,67,Equipment,Fish,small,23.08,710.55,5.0,N
67,68,Housing,Dog,medium,26.0,675.06,3.0,Y
68,69,Equipment,Cat,medium,22.95,790.28,6.0,N
69,70,Toys,Dog,small,39.03,1411.58,6.0,N
70,71,Equipment,Dog,large,28.064999999999998,1446.43,0.0,N
71,72,Medicine,Bird,medium,34.96,1207.21,6.0,Y
72,73,unknown,Dog,small,33.13,1101.89,4.0,N
73,74,Food,Bird,large,28.064999999999998,1864.01,0.0,N
74,75,Equipment,Fish,small,23.19,706.38,6.0,Y
75,76,Food,Fish,large,31.0,1023.95,6.0,Y
76,77,Housing,Cat,medium,21.05,614.54,3.0,Y
77,78,Food,Cat,small,31.5,1090.84,6.0,N
78,79,Medicine,Cat,small,24.7,975.88,6.0,Y
79,80,Accessory,Dog,small,27.76,764.19,3.0,N
80,81,Accessory,Cat,medium,18.06,518.45,6.0,Y
81,82,Equipment,Fish,small,22.99,709.87,2.0,N
82,83,Equipment,Cat,small,28.43,1047.28,5.0,Y
83,84,Toys,Bird,medium,43.99,1534.9,7.0,N
84,85,Equipment,Dog,medium,28.064999999999998,870.15,0.0,Y
85,86,Food,Bird,medium,41.03,1206.69,6.0,Y
86,87,Equipment,Cat,small,28.28,1042.37,5.0,N
87,88,Food,Dog,large,40.93,1463.29,4.0,Y
88,89,Housing,Cat,small,25.96,825.63,4.0,N
89,90,Equipment,Cat,small,28.064999999999998,1014.17,0.0,N
90,91,Equipment,Cat,small,27.86,1022.0,6.0,Y
91,92,Toys,Dog,small,38.95,1418.52,6.0,Y
92,93,Housing,Bird,medium,36.22,965.85,4.0,N
93,94,Accessory,Dog,medium,23.02,578.95,5.0,N
94,95,Housing,Cat,small,28.064999999999998,821.2,0.0,N
95,96,Housing,Cat,medium,21.14,617.64,7.0,Y
96,97,Accessory,Bird,large,42.99,1417.24,5.0,N
97,98,Equipment,Cat,small,27.95,1026.77,6.0,Y
98,99,Equipment,Dog,large,38.0,1447.26,5.0,N
99,100,Equipment,Cat,small,28.2,1035.18,6.0,Y
100,101,Housing,Dog,small,28.064999999999998,892.3,0.0,Y
101,102,Toys,Dog,small,39.16,1425.23,3.0,Y
102,103,Medicine,Dog,medium,25.07,846.96,4.0,N
103,104,Medicine,Fish,medium,15.0,464.88,6.0,Y
104,105,Housing,Bird,medium,35.95,962.13,2.0,Y
105,106,Equipment,Cat,small,27.86,1027.49,3.0,N
106,107,Medicine,Cat,large,30.03,1321.82,8.0,Y
107,108,Equipment,Fish,small,22.98,712.43,6.0,N
108,109,Equipment,Cat,small,27.97,1028.72,5.0,Y
109,110,Toys,Fish,small,28.74,969.57,4.0,Y
110,111,Equipment,Dog,small,28.064999999999998,1112.08,0.0,Y
111,112,Food,Cat,medium,26.05,829.81,6.0,Y
112,113,Housing,Bird,large,45.99,1558.19,6.0,N
113,114,Housing,Cat,small,25.83,821.45,8.0,N
114,115,Equipment,Dog,small,32.98,1106.85,6.0,Y
115,116,Accessory,Fish,large,22.75,670.79,3.0,N
116,117,Toys,Fish,large,28.064999999999998,1300.33,0.0,Y
117,118,Equipment,Cat,small,28.03,1029.38,6.0,Y
118,119,Equipment,Cat,small,27.7,1021.27,4.0,N
119,120,Toys,Cat,medium,29.02,1073.29,6.0,Y
120,121,Food,Dog,small,28.064999999999998,1132.38,0.0,N
121,122,Equipment,Cat,medium,23.19,801.04,3.0,Y
122,123,Food,Dog,medium,30.92,885.87,4.0,Y
123,124,Housing,Dog,medium,26.32,685.86,2.0,Y
124,125,Equipment,Cat,small,28.2,1047.38,5.0,N
125,126,Equipment,Cat,small,27.99,1028.27,6.0,N
126,127,Medicine,Cat,small,25.07,999.58,8.0,Y
127,128,Toys,Fish,medium,28.064999999999998,747.58,0.0,N
128,129,Equipment,Cat,medium,22.98,795.34,7.0,N
129,130,Toys,Fish,large,34.18,1307.35,4.0,N
130,131,Housing,Fish,small,21.07,538.15,4.0,Y
131,132,Equipment,Cat,small,28.064999999999998,1038.07,0.0,Y
132,133,Housing,Bird,large,28.064999999999998,1556.37,0.0,Y
133,134,Housing,Fish,small,28.064999999999998,529.96,0.0,Y
134,135,Food,Dog,large,28.064999999999998,1451.97,0.0,N
135,136,Medicine,Bird,small,28.064999999999998,1495.56,0.0,Y
136,137,Housing,Cat,small,25.97,823.94,5.0,Y
137,138,Equipment,Fish,small,23.14,711.93,4.0,N
138,139,Accessory,Bird,large,42.85,1411.53,5.0,N
139,140,Toys,Cat,small,34.08,1348.96,6.0,Y
140,141,Toys,Dog,small,28.064999999999998,1390.98,0.0,Y
141,142,Equipment,Cat,medium,22.97,790.52,5.0,Y
142,143,Toys,Fish,medium,24.24,749.2,6.0,Y
143,144,Food,Bird,medium,41.02,1204.42,3.0,Y
144,145,Equipment,Cat,small,27.95,1025.34,8.0,N
145,146,Food,Dog,large,41.04,1456.69,8.0,N
146,147,Equipment,Fish,small,22.68,697.2,2.0,N
147,148,Medicine,Cat,small,24.83,981.35,7.0,Y
148,149,Equipment,Cat,small,27.77,1022.07,5.0,N
149,150,Equipment,Cat,small,27.99,1026.36,6.0,Y
150,151,Food,Bird,large,50.92,1859.84,5.0,Y
151,152,Food,Dog,large,41.01,1464.8,4.0,Y
152,153,Housing,Bird,medium,36.08,962.39,5.0,Y
153,154,Housing,Cat,medium,21.12,619.13,4.0,Y
154,155,Housing,Fish,medium,16.11,373.72,5.0,N
155,156,Food,Cat,small,30.96,1059.68,7.0,Y
156,157,Food,Bird,small,45.83,1460.05,6.0,Y
157,158,Medicine,Dog,small,29.99,1088.15,3.0,N
158,159,Accessory,Dog,medium,28.064999999999998,583.06,0.0,N
159,160,Toys,Fish,large,34.17,1299.15,5.0,Y
160,161,Medicine,Fish,small,19.76,657.92,3.0,Y
161,162,Food,Dog,medium,30.86,880.28,5.0,Y
162,163,Housing,Cat,small,26.13,827.52,6.0,Y
163,164,Medicine,Fish,large,24.94,941.39,6.0,N
164,165,Food,Bird,large,51.18,1869.97,6.0,Y
165,166,Medicine,Cat,medium,20.06,741.16,4.0,N
166,167,Equipment,Cat,small,27.93,1031.5,6.0,Y
167,168,Food,Cat,medium,26.24,837.67,6.0,Y
168,169,Food,Cat,medium,25.88,825.61,5.0,Y
169,170,Equipment,Cat,small,28.17,1041.59,3.0,N
170,171,Toys,Dog,small,39.26,1412.54,4.0,N
171,172,Toys,Cat,small,34.17,1350.32,8.0,N
172,173,Equipment,Cat,small,28.07,1034.36,5.0,Y
173,174,unknown,Bird,large,51.1,1868.47,5.0,N
174,175,Toys,Cat,small,34.03,1338.54,6.0,N
175,176,Food,Bird,medium,41.08,1204.46,4.0,Y
176,177,Medicine,Dog,medium,25.05,844.17,5.0,Y
177,178,Medicine,Cat,medium,19.88,734.01,8.0,N
178,179,unknown,Bird,large,50.99,1855.16,5.0,Y
179,180,Housing,Fish,medium,15.91,367.02,5.0,N
180,181,Housing,Fish,small,20.79,529.93,3.0,N
181,182,Food,Bird,medium,40.88,1206.88,7.0,Y
182,183,Food,Fish,small,26.3,740.93,3.0,Y
183,184,Equipment,Cat,medium,22.86,787.87,4.0,Y
184,185,Toys,Cat,small,34.11,1345.58,6.0,Y
185,186,Toys,Dog,medium,34.02,1158.66,5.0,N
186,187,Housing,Cat,large,28.064999999999998,1125.8,0.0,Y
187,188,Medicine,Fish,small,20.03,663.35,5.0,Y
188,189,Food,Fish,small,26.67,752.3,3.0,Y
189,190,Food,Dog,large,41.15,1467.02,6.0,N
190,191,Equipment,Dog,small,33.1,1118.36,3.0,N
191,192,Equipment,Cat,small,28.31,1048.92,8.0,Y
192,193,Medicine,Dog,medium,25.06,842.46,3.0,Y
193,194,Medicine,Dog,small,28.064999999999998,1081.7,0.0,Y
194,195,Food,Cat,small,31.04,1074.04,4.0,N
195,196,Equipment,Cat,small,27.98,1029.34,7.0,N
196,197,Medicine,Cat,small,25.02,992.22,6.0,Y
197,198,Equipment,Cat,small,27.65,1019.82,6.0,N
198,199,Equipment,Dog,small,33.09,1110.67,3.0,Y
199,200,Equipment,Dog,medium,28.0,873.45,2.0,Y
200,201,Toys,Dog,small,28.064999999999998,1407.71,0.0,Y
201,202,Equipment,Fish,small,23.01,703.91,3.0,Y
202,203,Food,Bird,small,46.02,1470.55,2.0,Y
203,204,Housing,Bird,large,45.94,1541.46,5.0,N
204,205,Equipment,Cat,small,28.04,1039.48,5.0,Y
205,206,Toys,Dog,small,38.87,1408.33,4.0,Y
206,207,Medicine,Cat,medium,20.05,740.8,4.0,N
207,208,Medicine,Fish,small,19.86,659.93,3.0,N
208,209,Food,Dog,small,35.99,1122.98,5.0,Y
209,210,Equipment,Cat,small,28.064999999999998,1033.55,0.0,Y
210,211,Equipment,Fish,small,22.9,700.8,3.0,N
211,212,Toys,Cat,small,28.064999999999998,1383.43,0.0,N
212,213,Toys,Bird,small,48.91,1816.23,6.0,Y
213,214,Housing,Cat,small,25.91,822.17,4.0,Y
214,215,Food,Bird,small,45.83,1461.36,4.0,N
215,216,Accessory,Dog,large,33.03,1062.88,4.0,Y
216,217,Equipment,Cat,small,27.89,1029.56,3.0,Y
217,218,Food,Dog,small,35.97,1111.28,3.0,N
218,219,Toys,Cat,large,28.064999999999998,1729.76,0.0,N
219,220,Equipment,Fish,small,23.16,710.4,2.0,N
220,221,Housing,Dog,large,35.89,1177.84,5.0,Y
221,222,Food,Fish,small,25.84,729.2,4.0,Y
222,223,Medicine,Dog,large,34.85,1416.51,7.0,Y
223,224,Accessory,Fish,large,22.94,669.84,5.0,Y
224,225,Food,Fish,large,31.08,1020.19,3.0,N
225,226,Medicine,Cat,small,25.16,989.87,4.0,Y
226,227,Housing,Fish,large,26.13,786.17,4.0,Y
227,228,Food,Bird,large,50.84,1846.82,6.0,Y
228,229,Equipment,Dog,small,32.91,1093.36,3.0,N
229,230,Equipment,Cat,small,28.17,1034.28,5.0,N
230,231,Medicine,Dog,large,28.064999999999998,1423.72,0.0,N
231,232,Food,Fish,small,25.83,731.17,6.0,N
232,233,unknown,Cat,small,27.74,1024.25,6.0,Y
233,234,Food,Cat,large,36.03,1400.69,7.0,Y
234,235,Food,Dog,medium,30.75,880.03,5.0,N
235,236,Accessory,Bird,large,28.064999999999998,1411.55,0.0,Y
236,237,Equipment,Fish,small,23.05,699.21,3.0,Y
237,238,Toys,Fish,medium,24.05,747.39,6.0,N
238,239,Equipment,Cat,small,27.96,1037.79,5.0,N
239,240,Toys,Cat,small,33.93,1343.52,6.0,Y
240,241,Equipment,Cat,medium,23.28,801.56,3.0,Y
241,242,Toys,Cat,small,34.01,1347.06,7.0,Y
242,243,Housing,Fish,medium,16.23,375.37,4.0,N
243,244,Housing,Dog,small,30.92,876.82,6.0,Y
244,245,Toys,Fish,medium,24.03,745.79,4.0,N
245,246,Medicine,Cat,medium,19.87,734.24,3.0,Y
246,247,Equipment,Cat,small,27.97,1034.03,4.0,N
247,248,Food,Fish,medium,21.02,544.63,2.0,Y
248,249,Accessory,Bird,large,42.97,1420.58,6.0,Y
249,250,Toys,Dog,large,28.064999999999998,1795.05,0.0,N
250,251,Equipment,Dog,large,38.32,1461.63,6.0,N
251,252,Medicine,Cat,small,24.96,984.98,7.0,Y
252,253,Accessory,Cat,small,23.07,722.66,5.0,Y
253,254,Accessory,Fish,medium,12.89,288.01,3.0,N
254,255,Medicine,Cat,small,25.09,989.83,6.0,Y
255,256,Equipment,Dog,small,32.96,1106.18,5.0,Y
256,257,Housing,Cat,small,28.064999999999998,823.68,0.0,Y
257,258,Housing,Fish,small,21.22,540.81,3.0,N
258,259,Equipment,Cat,small,28.33,1044.42,4.0,N
259,260,Toys,Dog,small,38.89,1417.68,5.0,N
260,261,Food,Dog,small,35.87,1118.67,6.0,Y
261,262,Equipment,Cat,small,28.03,1034.78,6.0,Y
262,263,Food,Fish,small,25.92,729.11,4.0,Y
263,264,Equipment,Fish,medium,18.08,511.72,5.0,Y
264,265,Toys,Cat,small,33.87,1350.59,6.0,N
265,266,Equipment,Cat,small,28.064999999999998,1030.43,0.0,N
266,267,Toys,Fish,small,28.92,964.24,4.0,Y
267,268,unknown,Fish,small,23.12,708.32,4.0,Y
268,269,Equipment,Cat,small,27.87,1020.96,5.0,Y
269,270,Medicine,Bird,medium,35.03,1207.13,6.0,Y
270,271,Toys,Dog,medium,33.93,1144.31,5.0,N
271,272,Food,Dog,large,41.04,1470.65,6.0,Y
272,273,Housing,Dog,small,31.23,884.46,3.0,Y
273,274,Equipment,Fish,small,22.93,703.79,5.0,Y
274,275,Medicine,Fish,medium,15.03,464.98,3.0,Y
275,276,Toys,Cat,medium,29.01,1074.06,3.0,Y
276,277,Accessory,Dog,medium,28.064999999999998,574.23,0.0,Y
277,278,Food,Dog,small,35.99,1120.11,4.0,N
278,279,Medicine,Cat,small,28.064999999999998,986.94,0.0,N
279,280,Toys,Dog,large,43.9,1795.77,5.0,Y
280,281,Equipment,Cat,small,28.2,1034.1,3.0,Y
281,282,Toys,Fish,small,29.0,972.44,8.0,Y
282,283,Housing,Cat,large,31.04,1124.81,5.0,Y
283,284,Food,Cat,medium,26.1,834.51,4.0,N
284,285,Food,Dog,large,41.11,1467.21,4.0,Y
285,286,Equipment,Cat,small,28.064999999999998,1029.17,0.0,Y
286,287,Equipment,Cat,medium,28.064999999999998,798.26,0.0,N
287,288,Equipment,Cat,small,28.1,1043.5,7.0,N
288,289,Housing,Fish,medium,28.064999999999998,363.73,0.0,Y
289,290,Equipment,Cat,small,27.82,1026.3,8.0,Y
290,291,Toys,Cat,small,34.0,1346.68,5.0,N
291,292,Food,Bird,large,50.9,1861.97,4.0,Y
292,293,Food,Bird,large,50.98,1864.04,6.0,N
293,294,Toys,Cat,medium,29.19,1087.59,4.0,Y
294,295,Toys,Bird,large,54.05,2249.4,4.0,N
295,296,Toys,Fish,medium,24.16,747.43,4.0,Y
296,297,Toys,Bird,medium,43.92,1525.97,6.0,Y
297,298,Equipment,Fish,small,28.064999999999998,712.28,0.0,Y
298,299,Medicine,Fish,medium,15.05,464.52,6.0,Y
299,300,Accessory,Dog,small,27.82,772.16,5.0,Y
300,301,Food,Cat,medium,26.06,832.08,6.0,Y
301,302,Toys,Cat,small,33.91,1346.02,6.0,N
302,303,Equipment,Cat,small,28.0,1025.83,4.0,Y
303,304,Food,Fish,large,30.97,1014.57,3.0,Y
304,305,Equipment,Fish,small,22.98,707.63,5.0,N
305,306,Toys,Cat,small,33.97,1349.03,6.0,Y
306,307,Equipment,Cat,small,28.064999999999998,1034.74,0.0,Y
307,308,Equipment,Cat,medium,22.93,787.3,3.0,Y
308,309,Toys,Cat,small,34.12,1364.65,6.0,N
309,310,Accessory,Dog,medium,22.92,577.97,3.0,N
310,311,Medicine,Dog,medium,25.19,846.27,5.0,Y
311,312,Food,Dog,medium,30.85,885.8,4.0,Y
312,313,Food,Dog,medium,28.064999999999998,882.34,0.0,Y
313,314,Equipment,Cat,small,28.18,1036.46,6.0,N
314,315,Accessory,Bird,medium,33.1,860.69,5.0,N
315,316,Housing,Dog,small,30.82,881.02,4.0,Y
316,317,Equipment,Cat,small,28.42,1045.29,5.0,Y
317,318,Food,Cat,medium,26.08,837.94,4.0,Y
318,319,Food,Fish,medium,20.89,538.41,5.0,N
319,320,Accessory,Bird,medium,28.064999999999998,859.11,0.0,Y
320,321,Housing,Cat,small,25.81,820.54,5.0,Y
321,322,Equipment,Cat,small,27.91,1030.16,5.0,N
322,323,Food,Bird,medium,41.01,1210.66,4.0,N
323,324,Toys,Cat,small,33.84,1346.25,5.0,Y
324,325,Toys,Cat,small,34.53,1356.71,8.0,Y
325,326,Food,Fish,medium,21.02,543.87,4.0,N
326,327,Equipment,Fish,small,23.28,716.79,4.0,Y
327,328,Toys,Cat,medium,28.86,1064.54,5.0,Y
328,329,Food,Bird,large,28.064999999999998,1859.03,0.0,Y
329,330,Equipment,Fish,small,23.02,708.63,6.0,Y
330,331,Equipment,Cat,small,27.98,1036.31,7.0,Y
331,332,Food,Dog,large,41.14,1466.3,6.0,Y
332,333,Food,Fish,large,30.99,1020.05,6.0,Y
333,334,Housing,Dog,medium,25.99,673.68,5.0,Y
334,335,Toys,Dog,small,39.0,1411.57,6.0,Y
335,336,Housing,Dog,medium,25.98,674.22,4.0,N
336,337,Equipment,Cat,small,27.84,1030.21,4.0,N
337,338,Food,Fish,medium,21.02,543.97,3.0,Y
338,339,Food,Bird,medium,41.0,1208.27,5.0,Y
339,340,Toys,Fish,small,29.13,965.84,5.0,Y
340,341,Medicine,Fish,small,19.84,657.38,5.0,N
341,342,Medicine,Cat,small,24.85,981.18,4.0,N
342,343,Toys,Fish,large,33.78,1283.93,4.0,Y
343,344,unknown,Cat,small,27.78,1026.38,6.0,N
344,345,Food,Fish,medium,21.02,540.34,2.0,N
345,346,Accessory,Bird,medium,33.15,860.51,6.0,Y
346,347,Accessory,Cat,small,28.064999999999998,706.7,0.0,Y
347,348,Equipment,Dog,medium,28.05,870.3,3.0,Y
348,349,Medicine,Bird,medium,34.96,1200.15,4.0,N
349,350,Housing,Dog,small,30.73,869.43,6.0,Y
350,351,Medicine,Fish,small,19.99,663.63,6.0,Y
351,352,Equipment,Cat,small,28.11,1040.53,7.0,Y
352,353,Housing,Bird,large,46.16,1557.58,3.0,Y
353,354,Accessory,Bird,large,42.93,1409.97,3.0,Y
354,355,Equipment,Cat,small,27.99,1044.51,8.0,Y
355,356,Medicine,Bird,medium,34.88,1198.81,4.0,Y
356,357,Equipment,Cat,small,28.36,1044.03,5.0,N
357,358,Toys,Cat,small,33.99,1345.66,6.0,N
358,359,Toys,Bird,medium,44.07,1517.76,5.0,Y
359,360,Housing,Dog,small,31.22,877.81,3.0,Y
360,361,Housing,Dog,medium,28.064999999999998,674.73,0.0,Y
361,362,Housing,Bird,large,46.11,1565.71,7.0,N
362,363,Equipment,Fish,small,22.91,700.94,3.0,Y
363,364,Accessory,Bird,medium,33.11,864.73,4.0,Y
364,365,Accessory,Dog,large,32.79,1060.94,5.0,N
365,366,Equipment,Cat,medium,23.07,799.68,5.0,Y
366,367,Equipment,Cat,small,27.81,1025.05,7.0,Y
367,368,Food,Dog,medium,30.89,885.79,5.0,N
368,369,Equipment,Cat,small,27.92,1031.79,3.0,Y
369,370,unknown,Dog,large,28.064999999999998,1462.67,0.0,Y
370,371,Medicine,Fish,small,20.03,665.55,6.0,Y
371,372,Toys,Fish,small,28.97,961.73,4.0,Y
372,373,Equipment,Fish,medium,18.12,514.67,3.0,Y
373,374,Food,Fish,medium,21.04,540.38,5.0,Y
374,375,Housing,Fish,medium,28.064999999999998,370.28,0.0,N
375,376,Equipment,Cat,small,27.9,1026.74,6.0,N
376,377,Equipment,Cat,medium,22.88,789.06,4.0,Y
377,378,Medicine,Fish,small,20.21,666.75,4.0,Y
378,379,Equipment,Cat,small,27.88,1032.4,7.0,Y
379,380,Food,Dog,small,35.76,1112.35,4.0,Y
380,381,Food,Fish,small,25.76,731.75,4.0,Y
